,contemplation of water,sitting by the sea,mindfulness by the sea,coastal strolling,birdwatching (coastal),rockpooling,beach clean-up,wading,sea dipping,sunbathing (marine setting),leisure swimming,snorkeling (gentle),stand-up paddleboarding (leisure),recreational kayaking (sit-on-top),sailing as passenger,shore angling,rowboat leisure,open-water swimming (training),sea kayaking expedition,stand-up paddle downwinding,surfing,windsurfing,scuba diving (recreational),apnea,spearfishing (apnea-based),coastal rowing (competitive),motorized water sports
Mental health,0.00012569724804121788,5.40633324908464e-06,2.838324955769436e-05,4.189908268040596e-05,0.0,1.35158331227116e-06,0.0,2.70316662454232e-06,1.35158331227116e-06,0.0,1.35158331227116e-06,0.0,0.0,0.00023112074639836837,2.70316662454232e-06,0.0,1.35158331227116e-06,4.0547499368134805e-06,2.70316662454232e-06,1.35158331227116e-06,7.568866548718497e-05,0.0,2.838324955769436e-05,0.004203424101163308,0.0,0.0,3.1086416182236684e-05
Affect balance,0.0002797463632972771,7.770732313813253e-06,9.324878776575905e-05,4.6624393882879525e-05,0.0,0.0,1.5541464627626506e-05,0.0,7.770732313813253e-06,0.0,7.770732313813253e-06,0.0,0.0,0.0010179659331095363,0.0,0.0,0.0,7.770732313813253e-06,0.0,0.0,9.324878776575905e-05,0.0,5.4395126196692775e-05,0.004639127191346512,0.0,0.0,0.00012433171702101205
Psychological distress,0.00014352144210345025,0.0,8.037200757793215e-05,2.296343073655204e-05,0.0,0.0,0.0,5.74085768413801e-06,0.0,0.0,0.0,0.0,0.0,0.0003272288879958666,0.0,0.0,0.0,0.0,0.0,0.0,4.592686147310408e-05,0.0,3.444514610482806e-05,0.00438601527068144,0.0,0.0,5.74085768413801e-06
Perceived stress,0.00017250211249414412,7.005161928696208e-06,0.0002057766316554511,1.751290482174052e-05,0.0,1.0507742893044312e-05,6.129516687609182e-06,7.880807169783234e-06,2.7145002473697806e-05,0.0,8.75645241087026e-07,1.751290482174052e-06,0.0,0.0011961313993248774,2.626935723261078e-06,1.751290482174052e-06,9.632097651957286e-06,8.75645241087026e-06,1.751290482174052e-06,0.0,4.4657907295438327e-05,7.880807169783234e-06,0.000100699202725008,0.001887891139783628,0.0,8.75645241087026e-07,7.355420025131018e-05
Anxiety,0.00016681418941921427,6.808742425274052e-06,5.106556818955539e-05,2.0426227275822156e-05,0.0,0.0,0.0,0.0,1.3617484850548104e-05,0.0,3.404371212637026e-06,0.0,0.0,0.0005378906515966501,0.0,0.0,0.0,1.3617484850548104e-05,0.0,0.0,0.00011574862122965888,0.0,6.127868182746647e-05,0.003302240076257915,0.0,0.0,5.787431061482944e-05
Depression,8.994654605263157e-05,0.0,6.424753289473684e-05,2.5699013157894735e-05,0.0,0.0,0.0,0.0,8.566337719298245e-06,0.0,2.1415844298245613e-06,0.0,0.0,0.00043474163925438596,0.0,0.0,0.0,2.1415844298245613e-06,0.0,0.0,5.9964364035087716e-05,0.0,1.2849506578947368e-05,0.005482456140350877,0.0,0.0,7.067228618421053e-05
Rumination,0.00022154282422792325,4.430856484558465e-05,4.430856484558465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002658513890735079,0.0,4.430856484558465e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009304798617572776,0.0,0.0,4.430856484558465e-05
Post-traumatic stress,7.066971331652965e-05,0.0,7.066971331652965e-05,2.355657110550988e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021200913994958893,0.0,0.0,0.0,0.0,0.0,0.0,7.066971331652965e-05,2.355657110550988e-05,4.711314221101976e-05,0.0028503451037666955,0.0,0.0,2.355657110550988e-05
Resilience,0.0005905572995990426,0.0,0.00024865570509433375,0.0,0.0,0.0,3.108196313679172e-05,3.108196313679172e-05,0.0,0.0,0.0,0.0,0.0,0.0004973114101886675,0.0,0.0,4.662294470518758e-05,0.0,0.0,0.0,0.0001554098156839586,0.0,1.554098156839586e-05,0.0003108196313679172,0.0,0.0,3.108196313679172e-05
Self-esteem,0.0001377410468319559,0.0,6.887052341597796e-05,3.443526170798898e-05,0.0,0.0,0.0,3.443526170798898e-05,0.0,0.0,3.443526170798898e-05,0.0,0.0,0.0005853994490358127,0.0,0.0,0.0,3.443526170798898e-05,3.443526170798898e-05,0.0,0.0002754820936639118,0.0,0.00010330578512396694,0.0008953168044077135,0.0,0.0,6.887052341597796e-05
