,coastal residence,blue space proximity,amount of blue space,street-view blueness,access to blue space,visit frequency to blue space,water contact level,bathing water quality,harmful algal blooms,marine microbes and parasites,chemical pollution (marine),plastic pollution,sea spray aerosols,seafood consumption,occupational exposure (marine),blue prescriptions,virtual blue exposure
Mental health,4.0547499368134805e-05,1.7570583059525082e-05,0.0001419162477884718,0.00016218999747253922,0.0008406848202326616,0.002653158041988287,0.00019733116359158936,0.00023247232971063952,1.35158331227116e-05,1.486741643498276e-05,0.0004919763256667022,2.0273749684067402e-05,1.35158331227116e-06,0.0003405989946923323,0.0027247919575386585,3.2437999494507844e-05,1.8922166371796242e-05
Affect balance,3.885366156906627e-05,7.770732313813253e-06,0.00012433171702101205,0.00020203904015914459,0.0003885366156906627,0.001864975755315181,0.00032637075718015666,0.00024089270172821087,7.770732313813253e-06,6.993659082431928e-05,0.0007693024990675122,0.00010101952007957229,0.0,0.0010257366654233494,0.002300136764888723,3.108292925525301e-05,4.6624393882879525e-05
Psychological distress,2.870428842069005e-05,1.722257305241403e-05,4.592686147310408e-05,0.0001722257305241403,0.0005338997646248349,0.0014639187094551925,0.00024685688041793446,0.0008152017911475974,7.463114989379414e-05,6.889029220965612e-05,0.000539640622308973,2.870428842069005e-05,0.0,0.0002813020265227625,0.0029852459957517654,2.296343073655204e-05,5.74085768413801e-06
Perceived stress,3.765274536674212e-05,9.632097651957286e-06,3.677710012565509e-05,0.0006628634475028787,0.00021015485786088624,0.0005560347280902615,0.002626060078019991,0.02095506626445362,0.0001584917886367517,0.0037249948555842087,0.007006037573937295,0.0011015617132874788,9.632097651957286e-06,0.0011672351063690056,0.0016821145081281769,8.75645241087026e-06,6.129516687609182e-06
Anxiety,2.383059848845918e-05,2.0426227275822156e-05,8.851365152856268e-05,7.83005378906516e-05,0.0005412950228092871,0.0021719888336624226,0.000258732212160414,0.0004051201743038061,4.425682576428134e-05,2.383059848845918e-05,0.0005583168788724723,2.723496970109621e-05,3.404371212637026e-06,0.0003132021515626064,0.00303329475045959,3.744808333900728e-05,3.744808333900728e-05
Depression,1.4991091008771929e-05,1.0707922149122806e-05,5.9964364035087716e-05,0.00014562774122807017,0.0003276624177631579,0.002143726014254386,0.00019702576754385964,0.00043474163925438596,4.925644188596491e-05,6.63891173245614e-05,0.0009037486293859649,1.713267543859649e-05,0.0,0.0008823327850877193,0.0024092824835526315,4.711485745614035e-05,8.566337719298245e-06
Rumination,8.86171296911693e-05,4.430856484558465e-05,4.430856484558465e-05,0.00031015995391909254,0.00048739421330143114,0.0016837254641322167,0.0004430856484558465,0.000886171296911693,0.00022154282422792325,0.0002658513890735079,0.0013292569453675395,0.0004430856484558465,0.0,8.86171296911693e-05,0.0023483539368159864,0.0,4.430856484558465e-05
Post-traumatic stress,2.355657110550988e-05,0.0,2.355657110550988e-05,0.00023556571105509883,0.00047113142211019767,0.00042401827989917786,0.005206002214317684,0.002426326823867518,0.0,7.066971331652965e-05,0.0013898376952250831,0.0010600456997479446,0.0,0.0002591222821606087,0.0056535770653223716,2.355657110550988e-05,0.0
Fear of water,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0
Resilience,0.00013986883411556275,7.77049078419793e-05,0.00021757374195754205,0.0009324588941037516,0.001445311285860815,0.000668262207441022,0.002004786622323066,0.004848786249339508,0.00024865570509433375,0.000559475336462251,0.005035278028160259,0.0013831473595872315,1.554098156839586e-05,0.000559475336462251,0.0028129176638796508,1.554098156839586e-05,0.0
Self-esteem,3.443526170798898e-05,0.0,3.443526170798898e-05,0.00010330578512396694,0.0002754820936639118,0.0009986225895316804,0.0001377410468319559,3.443526170798898e-05,0.0,0.0,0.0001377410468319559,3.443526170798898e-05,0.0,0.00024104683195592288,0.0021005509641873277,0.0,0.0
Self-efficacy,5.702771546971828e-05,3.801847697981219e-05,5.702771546971828e-05,5.702771546971828e-05,0.0011025358324145535,0.0023381363342584497,0.00026612933885868535,0.00019009238489906094,0.0,0.0,0.0002851385773485914,5.702771546971828e-05,0.0,0.00017108314640915486,0.0030604873968748812,1.9009238489906094e-05,0.0
Mindfulness,0.0,0.0,0.0,5.441288497116117e-05,0.0009250190445097399,0.0007617803895962564,0.0007073675046250953,0.0003808901947981282,0.0,0.0,0.00027206442485580584,0.0,0.0,0.0002176515398846447,0.0014691478942213516,5.441288497116117e-05,5.441288497116117e-05
Nature connectedness,0.0,0.0,0.00015620728706994182,0.0005076736829773109,0.00025383684148865546,0.0008591400788846799,0.002206427929862928,0.02719959386105362,0.00017573319795368455,0.0023235833951653845,0.007361268403171008,0.0010543991877221073,0.0,0.00107392509860585,0.0017182801577693598,0.0,0.0
Awe,0.00012190785797734546,9.143089348300909e-05,0.0004165185147559303,0.0009854218519835425,0.0004063595265911515,0.0008330370295118606,0.0017168689998476152,0.01031137298725047,0.00019302077513079697,0.0004165185147559303,0.0054756946208157666,0.00048763143190938183,0.0,0.00048763143190938183,0.002631177934677706,0.0,0.0
Attention restoration,0.0,0.000980392156862745,0.00392156862745098,0.000980392156862745,0.000980392156862745,0.00196078431372549,0.000980392156862745,0.0,0.0,0.0,0.0,0.000980392156862745,0.0,0.0,0.0,0.0,0.0
Sleep quality,1.2739015783640556e-05,0.0,4.246338594546852e-05,0.00018259255956551464,0.00030149004021282647,0.003329129458124732,0.00037792413491466984,0.00011889748064731185,1.6985354378187406e-05,1.2739015783640556e-05,0.0004968216155619816,2.5478031567281113e-05,0.0,0.00028875102442918596,0.002845046858346391,3.397070875637481e-05,1.2739015783640556e-05
Social wellbeing,4.431936534668823e-05,1.8466402227786765e-05,4.616600556946691e-05,0.00042842053168465295,0.0006518639986408728,0.002112556414858806,0.0010470450063155097,0.008082744255102267,5.170592623780294e-05,0.0014791588184457198,0.0029638575575597756,0.00023821658873844927,3.693280445557353e-06,0.000805135137131503,0.0035086164232794852,4.0626084901130885e-05,5.539920668336029e-06
Pro-environmental behavior,0.0011210762331838565,0.0,0.0,0.0033632286995515697,0.006726457399103139,0.0011210762331838565,0.0033632286995515697,0.023542600896860985,0.0011210762331838565,0.0,0.01905829596412556,0.013452914798206279,0.0,0.0011210762331838565,0.005605381165919282,0.0,0.0
Cognitive function,8.835092989353713e-06,1.325263948403057e-05,6.1845650925476e-05,0.00034015108009011793,0.0002871405221539957,0.0013694394133498256,0.0010027830542916464,0.0009321023103768167,0.00014577903432433628,0.00018111940628175112,0.002593099792375315,0.00018995449927110484,0.0,0.00178468878384945,0.0011264743561425984,1.325263948403057e-05,8.835092989353713e-06
Executive function,6.433702306160592e-06,4.825276729620444e-06,8.04212788270074e-06,0.000511479333339767,0.00010937293920473006,0.00028147447589452586,0.0012803067589259578,0.012470123494915766,0.00013832459958245272,0.0018094787736076664,0.00510835963109151,0.0006385449538864387,1.608425576540148e-06,0.0012417045450889943,0.0004069316708646574,1.2867404612321184e-05,1.608425576540148e-06
Memory,1.511190364650235e-05,1.208952291720188e-05,1.9645474740453054e-05,0.0004065102080909132,0.0002720142656370423,0.0007419944690432654,0.0010260982575975095,0.004867544164538407,6.195880495065964e-05,0.0009233373128012935,0.0021141553201456786,0.0001647197497468756,4.533571093950705e-06,0.0007299049461260635,0.001131881583123026,6.04476145860094e-06,1.511190364650235e-06
Attention,3.933929651503007e-05,1.9669648257515035e-05,6.228721948213094e-05,0.0007605597326239147,0.0003786407289571644,0.0009441431163607217,0.0019046776062693726,0.0040044125577591025,8.687427980402474e-05,0.0005048543052762192,0.007610514738303526,0.0022669269616786077,1.3113098838343356e-05,0.0009474213910703075,0.0015440673882149304,2.2947922967100875e-05,3.278274709585839e-06
Creativity,0.0,0.0,9.376465072667604e-05,0.00018752930145335208,0.00037505860290670416,0.00028129395218002813,0.00018752930145335208,0.00018752930145335208,0.0,9.376465072667604e-05,0.00018752930145335208,9.376465072667604e-05,0.0,9.376465072667604e-05,0.0010314111579934366,0.0,0.0
Neurocognitive development,0.0,1.9966855020665693e-05,9.983427510332847e-05,0.00023960226024798834,0.00015973484016532555,0.0009983427510332848,0.0003993371004133139,0.0010981770261366132,3.993371004133139e-05,0.00011980113012399417,0.011281273086676117,0.00023960226024798834,0.0,0.0060100233612203745,0.0012579118663019388,3.993371004133139e-05,0.0
Headache,1.6730661446700296e-05,0.0,0.0,0.0001254799608502522,0.00010038396868020177,0.0038647827941877683,0.0005604771584644599,0.00046009318978425815,8.365330723350148e-06,0.00015057595302030266,0.0013384529157360236,0.0,8.365330723350148e-06,0.00029278657531725517,0.002534695209175095,3.346132289340059e-05,0.0
Heart rate,4.565964761495488e-05,5.3717232488182205e-06,4.0287924366136656e-05,0.0007493553932101418,0.00013966480446927373,0.001487967339922647,0.0011978942844864632,0.0020815427589170607,3.491620111731843e-05,0.0002524709926944564,0.0016088311130210572,6.177481736140953e-05,1.0743446497636441e-05,0.0008567898581865062,0.0026294585302965193,2.9544477868500217e-05,5.3717232488182205e-06
Blood pressure,7.358330071140335e-06,1.471666014228067e-06,1.913165818496487e-05,0.00041795314804077104,0.0001824865857642803,0.0019573157989233292,0.0003222948571159467,0.0009933745596039452,3.0904986298789407e-05,7.358330071140335e-05,0.001249444446079629,0.00013097827526629797,1.471666014228067e-06,0.0006754947005306827,0.0022531206677831707,2.3546656227649072e-05,1.471666014228067e-06
Cortisol,0.0,1.0361727921748231e-05,2.0723455843496462e-05,0.00041446911686992925,0.0002383197422002093,0.0006838740428353832,0.00117087525515755,0.0039581800661078245,2.0723455843496462e-05,0.0003419370214176916,0.0034711788537856573,0.00041446911686992925,0.0,0.001937643121366919,0.001564620916183983,1.0361727921748231e-05,0.0
Inflammation,1.037643994721851e-05,0.0,5.188219973609255e-06,0.00016948185247123564,5.36116063939623e-05,0.0010393734013797206,0.0005949158903071945,0.003889435573549071,3.8046946473134534e-05,0.0005966452969650642,0.00180895936413176,0.0004496457310461354,1.7294066578697515e-06,0.002232663995309849,0.0017484301311063188,1.3835253262958012e-05,0.0
Immune function,0.0,0.0,0.0,8.442380751371887e-05,0.0001266357112705783,0.0008442380751371887,0.00037990713381173493,0.005023216547066273,0.00029548332629801604,0.002448290417897847,0.0069649641198818064,0.0005487547488391727,0.0,0.002448290417897847,0.0012241452089489235,4.2211903756859436e-05,0.0
Endocrine markers,9.204119764006369e-06,1.8408239528012737e-05,2.761235929201911e-05,0.00017487827551612101,7.363295811205095e-05,0.0009664325752206688,0.0009940449345126879,0.009820795788194796,0.0,0.000423389509144293,0.004546835163419146,0.00012885767669608918,0.0,0.0005154307067843567,0.002144559905013484,1.8408239528012737e-05,9.204119764006369e-06
Metabolic health,3.0641291591723174e-06,0.0,3.0641291591723174e-06,0.00013175755384440966,7.966735813848025e-05,0.0021356980239431054,0.00025125859105213,0.0011459843055304467,3.370542075089549e-05,0.00010111626225268647,0.0013727298633091983,9.805213309351416e-05,0.0,0.0014615896089251953,0.0010080984933676924,3.370542075089549e-05,0.0
